concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_bus_vehicle,"daily","transportation","basic","casual,public","question","교통수단 이용 패턴","N을/를 타다","교통수단을 이용할 때 사용하는 문법","버스를 매일 탑니다.","Transportation usage pattern","take + N","Grammar used when using transportation","I take the bus every day.","交通手段利用パターン","Nに乗る","交通手段を利用する時に使う文法","バスに毎日乗ります。","交通工具使用模式","坐 + N","使用交通工具时的语法","我每天坐公交车。","Patrón de uso de transporte","tomar + N","Gramática usada al usar transporte","Tomo el autobús todos los días.","버스","bus","バス","公交车","autobús"
daily_subway_train,"daily","transportation","basic","casual,public","question","대중교통 질문 패턴","N이/가 몇 시에 V습니까?","대중교통 시간을 묻는 문법","지하철이 몇 시에 도착합니까?","Public transport question pattern","What time does N + V?","Grammar for asking about public transport times","What time does the subway arrive?","公共交通質問パターン","Nは何時にVますか？","公共交通の時間を尋ねる文法","地下鉄は何時に到着しますか？","公共交通询问模式","N什么时候V？","询问公共交通时间的语法","地铁什么时候到达？","Patrón de pregunta de transporte público","¿A qué hora + V + N?","Gramática para preguntar horarios de transporte público","¿A qué hora llega el metro?","지하철","subway","地下鉄","地铁","metro"
daily_taxi_cab,"daily","transportation","basic","polite,public","request","서비스 요청 패턴","N을/를 불러 주세요","서비스를 요청할 때 사용하는 정중한 표현","택시를 불러 주시겠어요?","Service request pattern","Please call + N","Polite expression for requesting services","Could you please call a taxi?","サービス依頼パターン","Nを呼んでください","サービスを依頼する時に使う丁寧な表現","タクシーを呼んでいただけますか？","服务请求模式","请叫 + N","请求服务时使用的礼貌表达","请帮我叫一辆出租车好吗？","Patrón de solicitud de servicio","Por favor llame + N","Expresión cortés para solicitar servicios","¿Podría llamar un taxi, por favor?","택시","taxi","タクシー","出租车","taxi"
daily_car_automobile,"daily","transportation","basic","casual,travel","description","소유/사용 표현 패턴","N이/가 있다/없다","소유나 존재를 나타내는 문법","자동차가 있어서 편리합니다.","Possession/usage expression pattern","have/don't have + N","Grammar expressing possession or existence","Having a car is convenient.","所有・使用表現パターン","Nがある・ない","所有や存在を表す文法","車があるので便利です。","拥有/使用表达模式","有/没有 + N","表示拥有或存在的语法","有汽车很方便。","Patrón de expresión de posesión/uso","tener/no tener + N","Gramática que expresa posesión o existencia","Tener coche es conveniente.","자동차","car","車","汽车","coche"
daily_bicycle_bike,"daily","transportation","basic","casual,public","suggestion","건강한 생활 제안 패턴","N이/가 건강에 좋다","건강에 관련된 제안을 할 때 사용","자전거가 건강에 매우 좋습니다.","Healthy lifestyle suggestion pattern","N + is good for health","Used when making health-related suggestions","Bicycle is very good for health.","健康的な生活提案パターン","Nが健康に良い","健康に関する提案をする時に使う","自転車が健康にとても良いです。","健康生活建议模式","N对健康有益","提出健康相关建议时使用","自行车对健康非常有益。","Patrón de sugerencia de vida saludable","N + es bueno para la salud","Usado al hacer sugerencias relacionadas con la salud","La bicicleta es muy buena para la salud.","자전거","bicycle","自転車","自行车","bicicleta"
daily_motorcycle_motorbike,"daily","transportation","intermediate","casual,public","description","안전 규칙 설명 패턴","N을/를 반드시 V해야 한다","의무나 필수사항을 설명하는 문법","오토바이를 탈 때는 헬멧을 반드시 써야 합니다.","Safety rule explanation pattern","must + V + N","Grammar explaining obligations or requirements","You must wear a helmet when riding a motorcycle.","安全ルール説明パターン","Nを必ずVなければならない","義務や必須事項を説明する文法","オートバイに乗る時はヘルメットを必ず着用しなければなりません。","安全规则说明模式","必须 + V + N","说明义务或必要事项的语法","骑摩托车时必须戴头盔。","Patrón de explicación de reglas de seguridad","deber + V + N","Gramática que explica obligaciones o requisitos","Debes usar casco cuando conduces motocicleta.","오토바이","motorcycle","オートバイ","摩托车","motocicleta"
daily_airplane_aircraft,"daily","transportation","intermediate","polite,travel","greeting","여행 계획 패턴","N으로/로 V을/를 계획이다","여행 계획을 표현하는 문법","비행기로 해외여행을 계획하고 있습니다.","Travel planning pattern","plan to V + by N","Grammar expressing travel plans","I'm planning to travel abroad by airplane.","旅行計画パターン","Nで旅行を計画している","旅行計画を表現する文法","飛行機で海外旅行を計画しています。","旅行计划模式","计划乘N + V","表达旅行计划的语法","我计划乘飞机出国旅行。","Patrón de planificación de viaje","planear V + en N","Gramática que expresa planes de viaje","Planeo viajar al extranjero en avión.","비행기","airplane","飛行機","飞机","avión"
daily_ship_boat,"daily","transportation","basic","polite,travel","description","이동 수단 설명 패턴","N으로/로 어디에 가다","이동 방법과 목적지를 설명하는 문법","배로 섬에 갈 수 있습니다.","Transportation method description pattern","can go to + place + by N","Grammar describing transportation method and destination","You can go to the island by ship.","移動手段説明パターン","Nで場所に行く","移動方法と目的地を説明する文法","船で島に行くことができます。","交通方式说明模式","可以乘N去某地","说明交通方式和目的地的语法","可以乘船去岛上。","Patrón de descripción de método de transporte","poder ir a + lugar + en N","Gramática que describe método de transporte y destino","Puedes ir a la isla en barco.","배","ship","船","船","barco"
daily_train_railway,"daily","transportation","basic","casual,travel","request","예약 요청 패턴","N 표를 예약하다","예약을 요청할 때 사용하는 문법","기차표를 미리 예약하는 것이 좋습니다.","Reservation request pattern","book + N + ticket","Grammar used when requesting reservations","It's good to book train tickets in advance.","予約依頼パターン","Nの切符を予約する","予約を依頼する時に使う文法","電車の切符を事前に予約するのが良いです。","预订请求模式","预订N票","请求预订时使用的语法","最好提前预订火车票。","Patrón de solicitud de reserva","reservar boleto de N","Gramática usada al solicitar reservas","Es bueno reservar boletos de tren con anticipación.","기차","train","電車","火车","tren"
daily_walking_pedestrian,"daily","transportation","basic","casual,public","suggestion","건강 습관 권장 패턴","매일 N분 V는 것이 좋다","건강한 습관을 권하는 문법","매일 30분 걷는 것이 건강에 좋습니다.","Health habit recommendation pattern","V-ing + for N minutes daily + is good","Grammar recommending healthy habits","Walking for 30 minutes daily is good for health.","健康習慣推奨パターン","毎日N分Vのが良い","健康的な習慣を勧める文法","毎日30分歩くのが健康に良いです。","健康习惯推荐模式","每天V + N分钟有益健康","推荐健康习惯的语法","每天步行30分钟对健康有益。","Patrón de recomendación de hábitos saludables","V + N minutos diarios + es bueno","Gramática que recomienda hábitos saludables","Caminar 30 minutos diarios es bueno para la salud.","걷기","walking","歩行","步行","caminar"
daily_station_terminal,"daily","transportation","basic","polite,public","question","위치 질문 패턴","가장 가까운 N이/가 어디에 있나요?","가장 가까운 장소를 묻는 문법","가장 가까운 역이 어디에 있나요?","Location question pattern","Where is the nearest N?","Grammar asking about the nearest location","Where is the nearest station?","場所質問パターン","一番近いNはどこにありますか？","最も近い場所を尋ねる文法","一番近い駅はどこにありますか？","位置询问模式","最近的N在哪里？","询问最近位置的语法","最近的车站在哪里？","Patrón de pregunta de ubicación","¿Dónde está el N más cercano?","Gramática para preguntar sobre la ubicación más cercana","¿Dónde está la estación más cercana?","역","station","駅","车站","estación"
daily_airport_terminal,"daily","transportation","intermediate","polite,travel","greeting","약속 장소 설정 패턴","N에서 만나기로 하다","만날 장소를 정하는 문법","공항에서 만나기로 약속했습니다.","Meeting place arrangement pattern","agree to meet at + N","Grammar for arranging meeting places","We agreed to meet at the airport.","待ち合わせ場所設定パターン","Nで会うことにする","会う場所を決める文法","空港で会うことにしました。","约会地点设定模式","约定在N见面","决定见面地点的语法","我们约定在机场见面。","Patrón de establecimiento de lugar de encuentro","quedar en encontrarse en + N","Gramática para establecer lugares de encuentro","Quedamos en encontrarnos en el aeropuerto.","공항","airport","空港","机场","aeropuerto"
daily_parking_lot,"daily","transportation","basic","casual,public","request","허가 요청 패턴","여기에 N을/를 V해도 되나요?","허가를 구하는 정중한 표현","여기에 주차해도 되나요?","Permission request pattern","May I + V + N + here?","Polite expression for asking permission","May I park here?","許可依頼パターン","ここでNしてもいいですか？","許可を求める丁寧な表現","ここで駐車してもいいですか？","许可请求模式","我可以在这里V + N吗？","请求许可的礼貌表达","我可以在这里停车吗？","Patrón de solicitud de permiso","¿Puedo + V + N + aquí?","Expresión cortés para pedir permiso","¿Puedo aparcar aquí?","주차장","parking","駐車場","停车场","estacionamiento"
daily_traffic_congestion,"daily","transportation","intermediate","casual,public","description","시간대별 상황 설명 패턴","N 시간에는 N이/가 V하다","특정 시간의 상황을 설명하는 문법","출근 시간에는 교통이 복잡합니다.","Time-specific situation description pattern","During N time, N + V","Grammar describing situations at specific times","During rush hour, traffic is heavy.","時間帯別状況説明パターン","N時間にはNがVする","特定時間の状況を説明する文法","出勤時間には交通が複雑です。","时段情况说明模式","在N时间，N很V","说明特定时间情况的语法","在上班时间，交通很拥挤。","Patrón de descripción de situación por tiempo","Durante N, N está + adj","Gramática que describe situaciones en momentos específicos","Durante la hora pico, el tráfico está pesado.","교통","traffic","交通","交通","tráfico"
daily_road_street,"daily","transportation","basic","casual,public","description","경로 설명 패턴","이 N은/는 어디로 가는 길이다","길이나 경로를 설명하는 문법","이 길은 시청으로 가는 길입니다.","Route description pattern","This N goes/leads to + place","Grammar describing roads or routes","This road leads to the city hall.","経路説明パターン","このNは場所に行く道です","道や経路を説明する文法","この道は市庁舎に行く道です。","路线说明模式","这条N通向某地","说明道路或路线的语法","这条路通向市政厅。","Patrón de descripción de ruta","Esta N va hacia + lugar","Gramática que describe carreteras o rutas","Esta carretera va hacia el ayuntamiento.","길","road","道路","道路","carretera"
daily_bridge_overpass,"daily","transportation","intermediate","polite,travel","description","지형지물 설명 패턴","N 위에 N이/가 있다","지형이나 구조물을 설명하는 문법","강 위에 아름다운 다리가 있습니다.","Geographical feature description pattern","There is + N + over/on + N","Grammar describing terrain or structures","There is a beautiful bridge over the river.","地形地物説明パターン","Nの上にNがある","地形や構造物を説明する文法","川の上に美しい橋があります。","地形地物说明模式","在N上有N","说明地形或建筑物的语法","河上有一座美丽的桥。","Patrón de descripción de características geográficas","Hay + N + sobre + N","Gramática que describe terreno o estructuras","Hay un hermoso puente sobre el río.","다리","bridge","橋","桥","puente"
daily_tunnel_underpass,"daily","transportation","intermediate","polite,public","description","통과 방법 설명 패턴","N을/를 통해서 V할 수 있다","통과나 이동 방법을 설명하는 문법","터널을 통해서 안전하게 건널 수 있습니다.","Passage method description pattern","can V + through + N","Grammar describing passage or movement methods","You can cross safely through the tunnel.","通過方法説明パターン","Nを通してVできる","通過や移動方法を説明する文法","トンネルを通して安全に渡ることができます。","通过方法说明模式","可以通过N + V","说明通过或移动方法的语法","可以通过隧道安全通过。","Patrón de descripción de método de paso","poder V + a través de + N","Gramática que describe métodos de paso o movimiento","Puedes cruzar con seguridad a través del túnel.","터널","tunnel","トンネル","隧道","túnel"
daily_intersection_crossroad,"daily","transportation","basic","casual,public","instruction","방향 지시 패턴","N에서 어느 방향으로 V하다","방향을 지시하는 문법","교차로에서 오른쪽으로 돌아가세요.","Direction instruction pattern","V + direction + at + N","Grammar giving directional instructions","Turn right at the intersection.","方向指示パターン","Nで方向にV","方向を指示する文法","交差点で右に曲がってください。","方向指示模式","在N处向某方向V","指示方向的语法","在十字路口向右转。","Patrón de instrucción de dirección","V + dirección + en + N","Gramática que da instrucciones direccionales","Gira a la derecha en la intersección.","교차로","intersection","交差点","十字路口","intersección"
daily_signal_traffic_light,"daily","transportation","basic","casual,public","instruction","신호 준수 지시 패턴","N이/가 어떤 색일 때 V하다","신호에 따른 행동을 지시하는 문법","신호등이 파란색일 때 건너가세요.","Signal compliance instruction pattern","V + when + N + is + color","Grammar instructing actions based on signals","Cross when the signal is blue.","信号遵守指示パターン","Nが色の時にV","信号に従った行動を指示する文法","信号が青の時に渡ってください。","信号遵守指示模式","当N是某颜色时V","根据信号指示行动的语法","当信号灯是蓝色时请过马路。","Patrón de instrucción de cumplimiento de señal","V + cuando + N + esté + color","Gramática que instruye acciones basadas en señales","Cruza cuando el semáforo esté azul.","신호등","signal","信号","红绿灯","semáforo"
daily_home_house,"daily","location","basic","casual,home","greeting","위치 설명 패턴","N은/는 어디에 있다","장소의 위치를 설명하는 기본 문법","집은 학교 근처에 있습니다.","Location description pattern","N + is + location phrase","Basic grammar describing location of places","Home is near the school.","場所説明パターン","Nは場所にある","場所の位置を説明する基本文法","家は学校の近くにあります。","位置说明模式","N在某地","说明地点位置的基本语法","家在学校附近。","Patrón de descripción de ubicación","N + está + frase de ubicación","Gramática básica que describe ubicación de lugares","La casa está cerca de la escuela.","집","home","家","家","casa"
daily_school_education,"daily","location","basic","polite,school","greeting","일상 활동 장소 패턴","N에서 V을/를 한다","장소에서 하는 활동을 설명하는 문법","학교에서 친구들과 공부합니다.","Daily activity location pattern","V + at/in + N","Grammar describing activities done at places","I study with friends at school.","日常活動場所パターン","NでVする","場所で行う活動を説明する文法","学校で友達と勉強します。","日常活动地点模式","在N + V","说明在某地进行的活动的语法","我在学校和朋友一起学习。","Patrón de lugar de actividad diaria","V + en + N","Gramática que describe actividades realizadas en lugares","Estudio con amigos en la escuela.","학교","school","学校","学校","escuela"
daily_hospital_medical,"daily","location","basic","polite,medical","description","의료 서비스 이용 패턴","N을/를 N에 데려가다","의료 서비스 이용을 설명하는 문법","할머니를 병원에 모시고 갔습니다.","Medical service usage pattern","take + N + to + medical facility","Grammar describing medical service usage","I took grandmother to the hospital.","医療サービス利用パターン","NをNに連れて行く","医療サービス利用を説明する文法","おばあさんを病院にお連れしました。","医疗服务使用模式","带N去N","说明使用医疗服务的语法","我带奶奶去了医院。","Patrón de uso de servicios médicos","llevar + N + a + instalación médica","Gramática que describe uso de servicios médicos","Llevé a la abuela al hospital.","병원","hospital","病院","医院","hospital"
daily_store_shop,"daily","location","basic","casual,shopping","description","쇼핑 활동 패턴","N에서 N을/를 사다","쇼핑 활동을 설명하는 문법","가게에서 필요한 물건을 샀습니다.","Shopping activity pattern","buy + N + at + store","Grammar describing shopping activities","I bought necessary items at the store.","ショッピング活動パターン","NでNを買う","ショッピング活動を説明する文法","店で必要な物を買いました。","购物活动模式","在N买N","说明购物活动的语法","我在商店买了必需品。","Patrón de actividad de compras","comprar + N + en + tienda","Gramática que describe actividades de compras","Compré artículos necesarios en la tienda.","가게","store","店","商店","tienda"
daily_office_workplace,"daily","location","basic","formal,work","greeting","업무 장소 패턴","N에서 업무를/일을 하다","업무 장소에서의 활동을 설명하는 문법","사무실에서 중요한 업무를 처리합니다.","Work location pattern","work/handle + tasks + at + office","Grammar describing activities at work locations","I handle important tasks at the office.","業務場所パターン","Nで業務・仕事をする","業務場所での活動を説明する文法","事務所で重要な業務を処理します。","工作地点模式","在N工作/办公","说明在工作地点的活动的语法","我在办公室处理重要工作。","Patrón de lugar de trabajo","trabajar/manejar + tareas + en + oficina","Gramática que describe actividades en lugares de trabajo","Manejo tareas importantes en la oficina.","사무실","office","事務所","办公室","oficina"
daily_restaurant_dining,"daily","location","basic","casual,social","description","식사 장소 패턴","N에서 N과/와 식사하다","식사 장소와 동반자를 설명하는 문법","식당에서 가족과 함께 식사했습니다.","Dining location pattern","dine/eat + with + N + at + restaurant","Grammar describing dining location and companions","I dined with family at the restaurant.","食事場所パターン","NでNと食事する","食事場所と同伴者を説明する文法","レストランで家族と一緒に食事しました。","用餐地点模式","在N和N一起用餐","说明用餐地点和同伴的语法","我在餐厅和家人一起用餐。","Patrón de lugar de comida","cenar/comer + con + N + en + restaurante","Gramática que describe lugar de comida y acompañantes","Cené con la familia en el restaurante.","식당","restaurant","レストラン","餐厅","restaurante"
daily_bank_financial,"daily","location","basic","polite,public","request","금융 서비스 이용 패턴","N에서 N을/를 V하고 싶다","금융 서비스 이용 의도를 표현하는 문법","은행에서 새 계좌를 개설하고 싶습니다.","Financial service usage pattern","want to + V + N + at + bank","Grammar expressing intention to use financial services","I want to open a new account at the bank.","金融サービス利用パターン","NでNをVしたい","金融サービス利用意図を表現する文法","銀行で新しい口座を開設したいです。","金融服务使用模式","想在N + V + N","表达使用金融服务意图的语法","我想在银行开设新账户。","Patrón de uso de servicios financieros","querer + V + N + en + banco","Gramática que expresa intención de usar servicios financieros","Quiero abrir una nueva cuenta en el banco.","은행","bank","銀行","银行","banco"
daily_park_recreation,"daily","location","basic","casual,public","suggestion","여가 활동 제안 패턴","N에서 V하면 어떨까요?","여가 활동을 제안하는 문법","공원에서 운동하면 어떨까요?","Leisure activity suggestion pattern","How about + V-ing + at + N?","Grammar suggesting leisure activities","How about exercising at the park?","余暇活動提案パターン","NでVてはどうでしょうか？","余暇活動を提案する文法","公園で運動してはどうでしょうか？","休闲活动建议模式","在N + V怎么样？","建议休闲活动的语法","在公园运动怎么样？","Patrón de sugerencia de actividad de ocio","¿Qué tal + V + en + N?","Gramática que sugiere actividades de ocio","¿Qué tal hacer ejercicio en el parque?","공원","park","公園","公园","parque"
daily_library_books,"daily","location","basic","polite,public","description","조용한 활동 묘사 패턴","N에서 조용히 V하다","조용한 환경에서의 활동을 묘사하는 문법","도서관에서 조용히 독서합니다.","Quiet activity description pattern","V + quietly + at + N","Grammar describing activities in quiet environments","I read quietly at the library.","静かな活動描写パターン","Nで静かにV","静かな環境での活動を描写する文法","図書館で静かに読書します。","安静活动描述模式","在N安静地V","描述在安静环境中活动的语法","我在图书馆安静地读书。","Patrón de descripción de actividad silenciosa","V + silenciosamente + en + N","Gramática que describe actividades en ambientes silenciosos","Leo silenciosamente en la biblioteca.","도서관","library","図書館","图书馆","biblioteca"
daily_market_shopping,"daily","location","basic","casual,shopping","description","시장 쇼핑 패턴","N에서 신선한 N을/를 고르다","시장에서의 쇼핑 활동을 설명하는 문법","시장에서 신선한 과일을 골랐습니다.","Market shopping pattern","pick/choose + fresh + N + at + market","Grammar describing shopping activities at markets","I picked fresh fruits at the market.","市場ショッピングパターン","Nで新鮮なNを選ぶ","市場でのショッピング活動を説明する文法","市場で新鮮な果物を選びました。","市场购物模式","在N挑选新鲜的N","说明在市场购物活动的语法","我在市场挑选了新鲜水果。","Patrón de compras en mercado","elegir + N + fresco + en + mercado","Gramática que describe actividades de compras en mercados","Elegí frutas frescas en el mercado.","시장","market","市場","市场","mercado"
daily_north_direction,"daily","direction","basic","casual,public","instruction","기본 방향 지시 패턴","N쪽으로 가다","기본적인 방향을 지시하는 문법","북쪽으로 계속 가세요.","Basic direction instruction pattern","go + direction","Grammar giving basic directional instructions","Keep going north.","基本方向指示パターン","N方向に行く","基本的な方向を指示する文法","北の方向に続けて行ってください。","基本方向指示模式","向N方向走","指示基本方向的语法","继续向北走。","Patrón de instrucción de dirección básica","ir hacia + dirección","Gramática que da instrucciones direccionales básicas","Sigue hacia el norte.","북쪽","north","北","北方","norte"
daily_south_direction,"daily","direction","basic","casual,public","instruction","목적지 방향 안내 패턴","N은/는 N쪽에 있다","목적지의 방향을 안내하는 문법","도서관은 남쪽에 있습니다.","Destination direction guidance pattern","N + is + to the + direction","Grammar guiding direction to destinations","The library is to the south.","目的地方向案内パターン","NはN方向にある","目的地の方向を案内する文法","図書館は南の方向にあります。","目的地方向指导模式","N在N方向","指导目的地方向的语法","图书馆在南边。","Patrón de orientación de destino","N + está + hacia el + dirección","Gramática que orienta dirección hacia destinos","La biblioteca está hacia el sur.","남쪽","south","南","南方","sur"
daily_east_direction,"daily","direction","basic","casual,public","instruction","위치 관계 설명 패턴","N은/는 N의 N쪽에 있다","두 장소 간의 위치 관계를 설명하는 문법","카페는 학교의 동쪽에 있습니다.","Location relationship description pattern","N + is + direction + of + N","Grammar describing positional relationship between places","The cafe is east of the school.","位置関係説明パターン","NはNのN側にある","二つの場所間の位置関係を説明する文法","カフェは学校の東側にあります。","位置关系说明模式","N在N的N边","说明两地之间位置关系的语法","咖啡厅在学校的东边。","Patrón de descripción de relación de ubicación","N + está + al + dirección + de + N","Gramática que describe relación posicional entre lugares","El café está al este de la escuela.","동쪽","east","東","东方","este"
daily_west_direction,"daily","direction","basic","casual,public","instruction","자연 현상 방향 설명 패턴","N이/가 N쪽에서 V다","자연 현상의 방향을 설명하는 문법","해가 서쪽에서 집니다.","Natural phenomenon direction description pattern","N + V + in the + direction","Grammar describing direction of natural phenomena","The sun sets in the west.","自然現象方向説明パターン","NがN方向でV","自然現象の方向を説明する文法","太陽が西の方向で沈みます。","自然现象方向说明模式","N在N方向V","说明自然现象方向的语法","太阳在西边落下。","Patrón de descripción de dirección de fenómeno natural","N + V + en el + dirección","Gramática que describe dirección de fenómenos naturales","El sol se pone en el oeste.","서쪽","west","西","西方","oeste"
daily_left_direction,"daily","direction","basic","casual,travel","instruction","좌우 방향 전환 지시 패턴","N에서 N쪽으로 돌다","좌우 방향 전환을 지시하는 문법","신호등에서 왼쪽으로 도세요.","Left-right direction change instruction pattern","turn + direction + at + N","Grammar instructing left-right direction changes","Turn left at the traffic light.","左右方向転換指示パターン","NでN方向に曲がる","左右方向転換を指示する文法","信号で左の方向に曲がってください。","左右方向转换指示模式","在N处向N方向转","指示左右方向转换的语法","在红绿灯处向左转。","Patrón de instrucción de cambio de dirección izquierda-derecha","girar + dirección + en + N","Gramática que instruye cambios de dirección izquierda-derecha","Gira a la izquierda en el semáforo.","왼쪽","left","左","左边","izquierda"
daily_right_direction,"daily","direction","basic","casual,travel","instruction","층수별 위치 안내 패턴","N은/는 N건물 N층에 있다","건물 내 위치를 안내하는 문법","카페는 오른쪽 건물 3층에 있습니다.","Floor-level location guidance pattern","N + is + on + floor number + of + building","Grammar guiding location within buildings","The cafe is on the 3rd floor of the right building.","階数別位置案内パターン","NはN建物のN階にある","建物内の位置を案内する文法","カフェは右の建物の3階にあります。","楼层位置指导模式","N在N建筑物N楼","指导建筑物内位置的语法","咖啡厅在右边建筑物的3楼。","Patrón de orientación de ubicación por piso","N + está + en + piso + de + edificio","Gramática que orienta ubicación dentro de edificios","El café está en el 3er piso del edificio de la derecha.","오른쪽","right","右","右边","derecha"
daily_straight_forward,"daily","direction","basic","casual,travel","instruction","지속적 이동 지시 패턴","N까지 계속 직진하다","지속적인 직진을 지시하는 문법","다음 교차로까지 계속 직진하세요.","Continuous movement instruction pattern","keep going straight until + N","Grammar instructing continuous forward movement","Keep going straight until the next intersection.","継続的移動指示パターン","Nまで直進し続ける","継続的な直進を指示する文法","次の交差点まで直進し続けてください。","持续移动指示模式","一直直走到N","指示持续直行的语法","一直直走到下一个十字路口。","Patrón de instrucción de movimiento continuo","seguir recto hasta + N","Gramática que instruye movimiento hacia adelante continuo","Sigue recto hasta la próxima intersección.","직진","straight","直進","直走","recto"
daily_backward_reverse,"daily","direction","basic","casual,travel","instruction","후진 동작 지시 패턴","N을/를 뒤로 V다","후진이나 뒤로 이동하는 동작을 지시하는 문법","차를 조금 뒤로 빼세요.","Reverse action instruction pattern","move + N + backward","Grammar instructing reverse or backward movements","Move the car backward a little.","後進動作指示パターン","NをVして後ろに下げる","後進や後ろに移動する動作を指示する文法","車を少し後ろに下げてください。","后退动作指示模式","把N向后V","指示后退或向后移动动作的语法","把车稍微往后退一点。","Patrón de instrucción de acción hacia atrás","mover + N + hacia atrás","Gramática que instruye movimientos hacia atrás o de reversa","Mueve el coche hacia atrás un poco.","뒤로","backward","後ろ","向后","atrás"
daily_up_direction,"daily","direction","basic","casual,travel","instruction","수직 이동 지시 패턴","N으로/로 위로 가다","수직 상향 이동을 지시하는 문법","엘리베이터로 위로 올라가세요.","Vertical upward movement instruction pattern","go up + by/with + N","Grammar instructing vertical upward movement","Go up with the elevator.","垂直移動指示パターン","Nで上に上がる","垂直上向き移動を指示する文法","エレベーターで上に上がってください。","垂直移动指示模式","乘N向上走","指示垂直向上移动的语法","坐电梯向上走。","Patrón de instrucción de movimiento vertical hacia arriba","subir + con/en + N","Gramática que instruye movimiento vertical hacia arriba","Sube con el ascensor.","위로","up","上","向上","arriba"
