concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
travel_airport_location,travel,basic,basic,"polite,social",question,위치 묻기,어디에 있나요?,"위치를 묻는 기본 표현이다.",공항이 어디에 있나요?,Asking for location,Where is...?,"Basic expression for asking location.",Where is the airport?,場所を尋ねる,どこにありますか？,"場所を尋ねる基本表現です。",空港はどこにありますか？,询问位置,在哪里？,"询问位置的基本表达。",机场在哪里？,Preguntar ubicación,¿Dónde está...?,"Expresión básica para preguntar ubicación.",¿Dónde está el aeropuerto?,공항,airport,空港,机场,aeropuerto
travel_ticket_request,travel,basic,basic,"polite,shopping",request,물건 요청하기,~주세요,"정중하게 물건을 요청하는 표현이다.",기차표 한 장 주세요.,Requesting items,Please give me...,"Polite expression for requesting items.",Please give me one train ticket.,物を頼む,～ください,"丁寧に物を頼む表現です。",電車の切符を1枚ください。,请求物品,请给我...,"礼貌地请求物品的表达。",请给我一张火车票。,Solicitar objetos,Por favor dame...,"Expresión cortés para solicitar objetos.",Por favor dame un boleto de tren.
travel_hotel_question,travel,basic,basic,"polite,social",question,존재 확인하기,~이/가 있나요?,"어떤 것이 있는지 확인하는 표현이다.",이 근처에 호텔이 있나요?,Checking existence,Is there...?,"Expression for checking if something exists.",Is there a hotel near here?,存在確認,～はありますか？,"何かがあるかを確認する表現です。",この近くにホテルはありますか？,确认存在,有...吗？,"确认某物是否存在的表达。",这附近有酒店吗？,Confirmar existencia,¿Hay...?,"Expresión para confirmar si algo existe.",¿Hay un hotel cerca de aquí?
travel_where_inquiry,travel,communication,basic,"polite,social",question,의문사 활용,어디에,"위치를 묻는 의문사 표현이다.",화장실이 어디에 있어요?,Using question words,Where,"Question word for asking location.",Where is the restroom?,疑問詞の活用,どこに,"場所を尋ねる疑問詞表現です。",トイレはどこにありますか？,使用疑问词,哪里,"用于询问位置的疑问词表达。",洗手间在哪里？,Usar palabras interrogativas,Dónde,"Palabra interrogativa para preguntar ubicación.",¿Dónde está el baño?
travel_help_request,travel,communication,basic,"polite,social",request,필요 표현하기,~이/가 필요하다,"무엇인가 필요함을 표현하는 방법이다.",도움이 필요합니다.,Expressing need,I need...,"Way to express that something is needed.",I need help.,必要性の表現,～が必要です,"何かが必要であることを表現する方法です。",助けが必要です。,表达需要,我需要...,"表达需要某物的方法。",我需要帮助。,Expresar necesidad,Necesito...,"Forma de expresar que algo es necesario.",Necesito ayuda.
travel_beautiful_description,travel,culture,basic,"casual,social",emotion,감탄 표현하기,정말 + 형용사,"감탄이나 놀라움을 표현하는 방법이다.",정말 아름다운 곳이네요!,Expressing admiration,What a + adjective,"Way to express admiration or amazement.",What a beautiful place!,感嘆の表現,本当に + 形容詞,"感嘆や驚きを表現する方法です。",本当に美しい場所ですね！,表达感叹,真 + 形容词,"表达感叹或惊讶的方法。",真是个美丽的地方！,Expresar admiración,Qué + adjetivo,"Forma de expresar admiración o asombro.",¡Qué lugar tan hermoso!
travel_excuse_politeness,travel,communication,basic,"polite,social",greeting,정중한 시작,실례합니다,"대화를 정중하게 시작하는 표현이다.","실례합니다, 역이 어디인가요?",Polite opening,Excuse me,"Expression to politely start a conversation.","Excuse me, where is the station?",丁寧な始まり,すみません,"会話を丁寧に始める表現です。",すみません、駅はどこですか？,礼貌开场,打扰一下,"礼貌地开始对话的表达。","打扰一下，车站在哪里？",Inicio cortés,Disculpe,"Expresión para comenzar cortésmente una conversación.","Disculpe, ¿dónde está la estación?"
travel_go_movement,travel,basic,basic,"casual,social",description,이동 표현하기,~에 가다,"어디로 가는지 표현하는 방법이다.",내일 제주도에 갑니다.,Expressing movement,Go to...,"Way to express going somewhere.",I'm going to Jeju Island tomorrow.,移動の表現,～に行く,"どこに行くかを表現する方法です。",明日済州島に行きます。,表达移动,去...,"表达去某地的方法。",我明天去济州岛。,Expresar movimiento,Ir a...,"Forma de expresar ir a algún lugar.",Voy a la Isla Jeju mañana.
travel_train_preference,travel,basic,basic,"casual,social",description,선호 표현하기,~하는 것을 좋아하다,"취향이나 선호를 표현하는 방법이다.",기차로 여행하는 것을 좋아해요.,Expressing preference,I like + ing,"Way to express preference or liking.",I like traveling by train.,好みの表現,～するのが好きです,"好みや嗜好を表現する方法です。",電車で旅行するのが好きです。,表达喜好,我喜欢...,"表达偏好或喜欢的方法。",我喜欢坐火车旅行。,Expresar preferencia,Me gusta + infinitivo,"Forma de expresar preferencia o gusto.",Me gusta viajar en tren.
travel_thank_gratitude,travel,communication,basic,"polite,social",gratitude,감사 표현하기,~해 주셔서 감사합니다,"도움에 대한 감사를 표현하는 방법이다.",길을 알려주셔서 감사합니다.,Expressing gratitude,Thank you for + ing,"Way to express gratitude for help.",Thank you for showing me the way.,感謝の表現,～してくださってありがとうございます,"助けに対する感謝を表現する方法です。","道を教えてくださって, ありがとうございます。",表达感谢,谢谢您...,"对帮助表达感谢的方法。",谢谢您告诉我路。,Expresar gratitud,Gracias por + infinitivo,"Forma de expresar gratitud por ayuda.",Gracias por mostrarme el camino.
travel_station_nearest,travel,basic,basic,"polite,social",question,최상급 사용,가장 + 형용사,"최상급을 사용하여 질문하는 방법이다.",가장 가까운 지하철역이 어디예요?,Using superlatives,The + superlative,"Way to ask questions using superlatives.",Where is the nearest subway station?,最上級の使用,一番 + 形容詞,"最上級を使って質問する方法です。",一番近い地下鉄の駅はどこですか？,使用最高级,最 + 形容词,"使用最高级提问的方法。",最近的地铁站在哪里？,Usar superlativos,El más + adjetivo,"Forma de hacer preguntas usando superlativos.",¿Dónde está la estación de metro más cercana?
