concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_bus_vehicle,"daily","transportation","basic","casual,public","question","몇 번 버스를 타야 하나요?","Which bus number should I take?","何番のバスに乗ればいいですか？","我应该坐几路公交车？","¿Qué número de autobús debo tomar?","버스","bus","バス","公交车","autobús"
daily_subway_train,"daily","transportation","basic","casual,public","question","지하철 마지막 차가 몇 시에 있나요?","What time is the last subway?","地下鉄の最終電車は何時ですか？","地铁末班车是几点？","¿A qué hora es el último metro?","지하철","subway","地下鉄","地铁","metro"
daily_taxi_cab,"daily","transportation","basic","polite,public","request","공항까지 택시로 얼마나 걸리나요?","How long does it take by taxi to the airport?","空港までタクシーでどのくらいかかりますか？","坐出租车到机场要多长时间？","¿Cuánto tiempo toma en taxi al aeropuerto?","택시","taxi","タクシー","出租车","taxi"
daily_car_automobile,"daily","transportation","basic","casual,travel","description","자동차 운전 면허증이 있습니다.","I have a car driving license.","車の運転免許証があります。","我有汽车驾照。","Tengo licencia de conducir de coche.","자동차","car","車","汽车","coche"
daily_bicycle_bike,"daily","transportation","basic","casual,public","suggestion","자전거로 통학하는 것이 환경에 좋아요.","Commuting by bicycle is good for the environment.","自転車で通学するのは環境に良いです。","骑自行车上学对环境有益。","Ir en bicicleta a la escuela es bueno para el medio ambiente.","자전거","bicycle","自転車","自行车","bicicleta"
daily_motorcycle_motorbike,"daily","transportation","intermediate","casual,public","description","오토바이 헬멧을 반드시 착용해야 합니다.","You must wear a motorcycle helmet.","オートバイのヘルメットを必ず着用しなければなりません。","必须戴摩托车头盔。","Debes usar casco de motocicleta obligatoriamente.","오토바이","motorcycle","オートバイ","摩托车","motocicleta"
daily_airplane_aircraft,"daily","transportation","intermediate","polite,travel","greeting","비행기 탑승 시간이 언제인가요?","What time is the airplane boarding?","飛行機の搭乗時間はいつですか？","飞机登机时间是什么时候？","¿A qué hora es el abordaje del avión?","비행기","airplane","飛行機","飞机","avión"
daily_ship_boat,"daily","transportation","basic","polite,travel","description","제주도까지 배로 여행했습니다.","I traveled to Jeju Island by ship.","済州島まで船で旅行しました。","我坐船去济州岛旅行了。","Viajé a la isla de Jeju en barco.","배","ship","船","船","barco"
daily_train_railway,"daily","transportation","basic","casual,travel","request","기차 시간표를 확인해 주실 수 있나요?","Could you check the train schedule?","電車の時刻表を確認していただけますか？","你能帮我查一下火车时刻表吗？","¿Podrías revisar el horario del tren?","기차","train","電車","火车","tren"
daily_walking_pedestrian,"daily","transportation","basic","casual,public","suggestion","매일 30분씩 걷는 것이 건강에 도움됩니다.","Walking 30 minutes daily helps your health.","毎日30分歩くことが健康に役立ちます。","每天步行30分钟对健康有帮助。","Caminar 30 minutos diarios ayuda a la salud.","걷기","walking","歩行","步行","caminar"
daily_station_terminal,"daily","transportation","basic","polite,public","question","가장 가까운 역이 어디에 있나요?","Where is the nearest station?","一番近い駅はどこにありますか？","最近的车站在哪里？","¿Dónde está la estación más cercana?","역","station","駅","车站","estación"
daily_airport_terminal,"daily","transportation","intermediate","polite,travel","greeting","공항에서 만나기로 약속했습니다.","We promised to meet at the airport.","空港で会うことを約束しました。","我们约好在机场见面。","Prometimos encontrarnos en el aeropuerto.","공항","airport","空港","机场","aeropuerto"
daily_parking_lot,"daily","transportation","basic","casual,public","request","여기 주차장에 차를 세워도 되나요?","Can I park my car in this parking lot?","ここの駐車場に車を停めてもいいですか？","我可以把车停在这个停车场吗？","¿Puedo aparcar mi coche en este estacionamiento?","주차장","parking","駐車場","停车场","estacionamiento"
daily_traffic_congestion,"daily","transportation","intermediate","casual,public","description","출근 시간에는 교통이 매우 복잡해요.","Traffic is very heavy during rush hour.","出勤時間は交通がとても複雑です。","上班时间交通非常拥挤。","El tráfico está muy pesado durante la hora pico.","교통","traffic","交通","交通","tráfico"
daily_road_street,"daily","transportation","basic","casual,public","description","이 길은 학교까지 가는 가장 빠른 경로입니다.","This road is the fastest route to school.","この道は学校まで行く最も速いルートです。","这条路是去学校最快的路线。","Esta carretera es la ruta más rápida a la escuela.","길","road","道路","道路","carretera"
daily_bridge_overpass,"daily","transportation","intermediate","polite,travel","description","한강 위의 다리를 건너서 갔습니다.","I crossed the bridge over the Han River.","漢江の上の橋を渡って行きました。","我过了汉江上的桥。","Crucé el puente sobre el río Han.","다리","bridge","橋","桥","puente"
daily_tunnel_underpass,"daily","transportation","intermediate","polite,public","description","지하 터널을 통해 반대편으로 갈 수 있어요.","You can go to the other side through the underground tunnel.","地下トンネルを通って反対側に行けます。","你可以通过地下隧道去对面。","Puedes ir al otro lado a través del túnel subterráneo.","터널","tunnel","トンネル","隧道","túnel"
daily_intersection_crossroad,"daily","transportation","basic","casual,public","instruction","다음 교차로에서 좌회전해 주세요.","Please turn left at the next intersection.","次の交差点で左折してください。","请在下一个十字路口左转。","Por favor gira a la izquierda en la próxima intersección.","교차로","intersection","交差点","十字路口","intersección"
daily_signal_traffic_light,"daily","transportation","basic","casual,public","instruction","신호등이 녹색일 때 건너세요.","Cross when the signal is green.","信号が緑の時に渡ってください。","信号灯是绿色时请过马路。","Cruza cuando el semáforo esté en verde.","신호등","signal","信号","红绿灯","semáforo"
daily_home_house,"daily","location","basic","casual,home","greeting","오늘 집에서 가족과 함께 저녁을 먹었어요.","I had dinner with my family at home today.","今日は家で家族と一緒に夕食を食べました。","今天我在家和家人一起吃晚餐。","Hoy cené con mi familia en casa.","집","home","家","家","casa"
daily_school_education,"daily","location","basic","polite,school","greeting","학교에서 새로운 친구들을 만났습니다.","I met new friends at school.","学校で新しい友達に出会いました。","我在学校遇到了新朋友。","Conocí nuevos amigos en la escuela.","학교","school","学校","学校","escuela"
daily_hospital_medical,"daily","location","basic","polite,medical","description","아버지를 병원에 모시고 갔습니다.","I took my father to the hospital.","父を病院にお連れしました。","我带父亲去了医院。","Llevé a mi padre al hospital.","병원","hospital","病院","医院","hospital"
daily_store_shop,"daily","location","basic","casual,shopping","description","근처 가게에서 생필품을 샀어요.","I bought daily necessities at a nearby store.","近くの店で生活用品を買いました。","我在附近的商店买了生活用品。","Compré artículos de primera necesidad en una tienda cercana.","가게","store","店","商店","tienda"
daily_office_workplace,"daily","location","basic","formal,work","greeting","사무실에서 중요한 회의가 있었습니다.","There was an important meeting at the office.","事務所で重要な会議がありました。","办公室有重要会议。","Hubo una reunión importante en la oficina.","사무실","office","事務所","办公室","oficina"
daily_restaurant_dining,"daily","location","basic","casual,social","description","친구들과 맛있는 식당에 갔어요.","I went to a delicious restaurant with friends.","友達と美味しいレストランに行きました。","我和朋友去了一家美味的餐厅。","Fui a un restaurante delicioso con amigos.","식당","restaurant","レストラン","餐厅","restaurante"
daily_bank_financial,"daily","location","basic","polite,public","request","은행에서 계좌를 개설하고 싶습니다.","I want to open an account at the bank.","銀行で口座を開設したいです。","我想在银行开个账户。","Quiero abrir una cuenta en el banco.","은행","bank","銀行","银行","banco"
daily_park_recreation,"daily","location","basic","casual,public","suggestion","주말에 공원에서 산책하면 어떨까요?","How about taking a walk in the park on weekends?","週末に公園で散歩してはどうでしょうか？","周末在公园散步怎么样？","¿Qué tal pasear por el parque los fines de semana?","공원","park","公園","公园","parque"
daily_library_books,"daily","location","basic","polite,public","description","도서관에서 조용히 책을 읽고 있어요.","I'm reading books quietly in the library.","図書館で静かに本を読んでいます。","我在图书馆安静地读书。","Estoy leyendo libros tranquilamente en la biblioteca.","도서관","library","図書館","图书馆","biblioteca"
daily_market_shopping,"daily","location","basic","casual,shopping","description","전통 시장에서 신선한 채소를 골랐습니다.","I picked fresh vegetables at the traditional market.","伝統市場で新鮮な野菜を選びました。","我在传统市场挑选了新鲜蔬菜。","Elegí verduras frescas en el mercado tradicional.","시장","market","市場","市场","mercado"
daily_north_direction,"daily","direction","basic","casual,public","instruction","학교는 집에서 북쪽으로 10분 거리에 있어요.","The school is 10 minutes north of home.","学校は家から北に10分の距離にあります。","学校在家的北边10分钟路程。","La escuela está a 10 minutos al norte de casa.","북쪽","north","北","北方","norte"
daily_south_direction,"daily","direction","basic","casual,public","instruction","버스 정류장은 여기서 남쪽으로 가세요.","The bus stop is south of here.","バス停はここから南に行ってください。","公交车站在这里的南边。","La parada de autobús está al sur de aquí.","남쪽","south","南","南方","sur"
daily_east_direction,"daily","direction","basic","casual,public","instruction","우체국은 동쪽 방향에 있습니다.","The post office is in the east direction.","郵便局は東の方向にあります。","邮局在东边方向。","La oficina de correos está en dirección este.","동쪽","east","東","东方","este"
daily_west_direction,"daily","direction","basic","casual,public","instruction","해는 서쪽 하늘에서 아름답게 지고 있어요.","The sun is setting beautifully in the western sky.","太陽は西の空で美しく沈んでいます。","太阳在西边的天空美丽地落下。","El sol se está poniendo hermosamente en el cielo occidental.","서쪽","west","西","西方","oeste"
daily_left_direction,"daily","direction","basic","casual,travel","instruction","다음 모퉁이에서 왼쪽으로 돌면 됩니다.","Turn left at the next corner.","次の角で左に曲がってください。","在下一个拐角处向左转。","Gira a la izquierda en la próxima esquina.","왼쪽","left","左","左边","izquierda"
daily_right_direction,"daily","direction","basic","casual,travel","instruction","은행은 오른쪽 건물 2층에 있어요.","The bank is on the 2nd floor of the building on the right.","銀行は右の建物の2階にあります。","银行在右边建筑的二楼。","El banco está en el segundo piso del edificio de la derecha.","오른쪽","right","右","右边","derecha"
daily_straight_forward,"daily","direction","basic","casual,travel","instruction","신호등까지 계속 직진하시면 됩니다.","Keep going straight until the traffic light.","信号まで直進してください。","一直直走到红绿灯。","Sigue recto hasta el semáforo.","직진","straight","直進","直走","recto"
daily_backward_reverse,"daily","direction","basic","casual,travel","instruction","차를 조금 뒤로 빼서 주차해 주세요.","Please back the car up a little to park.","車を少し後ろに下げて駐車してください。","请把车稍微往后倒一点停车。","Por favor retrocede el coche un poco para aparcar.","뒤로","backward","後ろ","向后","atrás"
daily_up_direction,"daily","direction","basic","casual,travel","instruction","엘리베이터로 위로 올라가세요.","Go up with the elevator.","エレベーターで上に上がってください。","坐电梯往上走。","Sube con el ascensor.","위로","up","上","向上","arriba"
daily_down_direction,"daily","direction","basic","casual,travel","instruction","계단으로 아래로 내려가세요.","Go down the stairs.","階段で下に降りてください。","走楼梯往下走。","Baja por las escaleras.","아래로","down","下","向下","abajo"
daily_ferry_boat,"daily","transportation","basic","polite,travel","description","제주도행 페리가 오후에 출발합니다.","The ferry to Jeju Island departs in the afternoon.","済州島行きのフェリーが午後に出発します。","去济州岛的渡轮下午出发。","El transbordador a la isla de Jeju sale por la tarde.","페리","ferry","フェリー","渡轮","transbordador"
daily_helicopter_aircraft,"daily","transportation","intermediate","polite,travel","description","응급환자를 헬리콥터로 이송했습니다.","The emergency patient was transported by helicopter.","緊急患者をヘリコプターで移送しました。","紧急病人用直升机转送了。","El paciente de emergencia fue transportado en helicóptero.","헬리콥터","helicopter","ヘリコプター","直升机","helicóptero"
daily_scooter_motorbike,"daily","transportation","basic","casual,public","suggestion","짧은 거리는 스쿠터가 편리해요.","A scooter is convenient for short distances.","短い距離はスクーターが便利です。","短距离踏板车很方便。","Un patinete es conveniente para distancias cortas.","스쿠터","scooter","スクーター","踏板车","patinete"
daily_escalator_stairs,"daily","transportation","basic","casual,public","instruction","백화점에서 에스컬레이터를 이용하세요.","Use the escalator in the department store.","デパートでエスカレーターを利用してください。","在百货公司使用自动扶梯。","Usa la escalera mecánica en el centro comercial.","에스컬레이터","escalator","エスカレーター","自动扶梯","escalera mecánica"
daily_elevator_lift,"daily","transportation","basic","polite,public","request","엘리베이터가 고장 났나요?","Is the elevator broken?","エレベーターは故障していますか？","电梯坏了吗？","¿Está roto el ascensor?","엘리베이터","elevator","エレベーター","电梯","ascensor"
daily_skateboard_board,"daily","transportation","basic","casual,public","suggestion","젊은이들이 스케이트보드를 즐겨 탑니다.","Young people enjoy riding skateboards.","若い人たちがスケートボードを楽しんで乗ります。","年轻人喜欢踩滑板。","Los jóvenes disfrutan montando monopatín.","스케이트보드","skateboard","スケートボード","滑板","monopatín"
daily_cable_car,"daily","transportation","intermediate","polite,travel","description","설악산 케이블카에서 경치가 아름다워요.","The view from the Seoraksan cable car is beautiful.","雪岳山のケーブルカーからの景色が美しいです。","雪岳山缆车的风景很美。","La vista desde el teleférico de Seoraksan es hermosa.","케이블카","cable car","ケーブルカー","缆车","teleférico"
daily_trolley_streetcar,"daily","transportation","basic","polite,public","description","샌프란시스코의 트롤리가 유명합니다.","San Francisco's trolley is famous.","サンフランシスコのトロリーが有名です。","旧金山的有轨电车很有名。","El tranvía de San Francisco es famoso.","트롤리","trolley","トロリー","有轨电车","tranvía"
daily_rickshaw_cart,"daily","transportation","intermediate","casual,travel","description","아시아 여행에서 인력거를 경험했어요.","I experienced a rickshaw during my Asia trip.","アジア旅行で人力車を体験しました。","我在亚洲旅行中体验了人力车。","Experimenté un rickshaw durante mi viaje a Asia.","인력거","rickshaw","人力車","人力车","rickshaw"
daily_segway_scooter,"daily","transportation","advanced","casual,public","suggestion","도시 투어를 세그웨이로 하면 재미있어요.","City tours are fun on a segway.","市内ツアーをセグウェイでするのは楽しいです。","用赛格威进行城市游览很有趣。","Los tours de la ciudad son divertidos en segway.","세그웨이","segway","セグウェイ","赛格威","segway"
daily_wheelchair_mobility,"daily","transportation","basic","polite,medical","description","휠체어 접근이 가능한 건물입니다.","This is a wheelchair accessible building.","車椅子でアクセス可能な建物です。","这是一个轮椅可进入的建筑。","Este es un edificio accesible en silla de ruedas.","휠체어","wheelchair","車椅子","轮椅","silla de ruedas"
daily_ferry_boat,"daily","transportation","basic","polite,travel","description","제주도행 페리가 오후에 출발합니다.","The ferry to Jeju Island departs in the afternoon.","済州島行きのフェリーが午後に出発します。","去济州岛的渡轮下午出发。","El transbordador a la isla de Jeju sale por la tarde.","페리","ferry","フェリー","渡轮","transbordador"
daily_helicopter_aircraft,"daily","transportation","intermediate","polite,travel","description","응급환자를 헬리콥터로 이송했습니다.","The emergency patient was transported by helicopter.","緊急患者をヘリコプターで移送しました。","紧急病人用直升机转送了。","El paciente de emergencia fue transportado en helicóptero.","헬리콥터","helicopter","ヘリコプター","直升机","helicóptero"
daily_scooter_motorbike,"daily","transportation","basic","casual,public","suggestion","짧은 거리는 스쿠터가 편리해요.","A scooter is convenient for short distances.","短い距離はスクーターが便利です。","短距离踏板车很方便。","Un patinete es conveniente para distancias cortas.","스쿠터","scooter","スクーター","踏板车","patinete"
daily_escalator_stairs,"daily","transportation","basic","casual,public","instruction","백화점에서 에스컬레이터를 이용하세요.","Use the escalator in the department store.","デパートでエスカレーターを利用してください。","在百货公司使用自动扶梯。","Usa la escalera mecánica en el centro comercial.","에스컬레이터","escalator","エスカレーター","自动扶梯","escalera mecánica"
daily_elevator_lift,"daily","transportation","basic","polite,public","request","엘리베이터가 고장 났나요?","Is the elevator broken?","エレベーターは故障していますか？","电梯坏了吗？","¿Está roto el ascensor?","엘리베이터","elevator","エレベーター","电梯","ascensor"
