concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_morning_start,daily,routine,basic,"casual,home",greeting,시간 표현하기,"[시간] + 에","특정 시간을 나타낼 때 사용하는 조사",아침에 일어나서 운동을 해요.,Time expressions,"in/at + [time]","Preposition used to indicate specific time",I exercise in the morning.,時間表現,"[時間] + に","特定の時間を表すときに使う助詞",朝に起きて運動をします。,时间表达,"在 + [时间]","用来表示特定时间的介词",我在早晨起床锻炼。,Expresiones de tiempo,"por la + [tiempo]","Preposición usada para indicar tiempo específico",Hago ejercicio por la mañana.,아침,morning,朝,早晨,mañana
daily_evening_end,daily,routine,basic,"casual,home",greeting,시간의 흐름 표현,"[시간]이/가 되다","시간이 지나서 특정 시점에 도달함을 표현",저녁이 되면 집에 돌아가요.,Time progression,"it becomes + [time]","Expression for reaching a specific time point",When it becomes evening I go home.,時間の流れ表現,"[時間] + になる","時間が経って特定の時点に達することを表現",夕方になると家に帰ります。,时间流逝表达,"到了 + [时间]","表达时间经过到达特定时点",到了晚上我就回家。,Progresión temporal,"se hace + [tiempo]","Expresión para llegar a un punto temporal específico",Cuando se hace de noche voy a casa.,저녁,evening,夕方,晚上,tarde
daily_sleep_rest,daily,routine,basic,"casual,home",description,목적 표현하기,"[목적] + (으)러","어떤 목적을 가지고 행동할 때 사용",잠자러 침실로 갔어요.,Purpose expression,"to + [verb]","Used to express the purpose of an action",I went to the bedroom to sleep.,目的表現,"[動詞] + に行く","ある目的を持って行動するときに使用",寝に寝室に行きました。,目的表达,"去 + [动作]","用来表达行动的目的",我去卧室睡觉。,Expresión de propósito,"para + [verbo]","Usado para expresar el propósito de una acción",Fui al dormitorio para dormir.,잠,sleep,眠り,睡觉,dormir
daily_breakfast_meal,daily,routine,basic,"casual,home",description,수단 표현하기,"[수단] + (으)로","어떤 방법이나 재료로 하는지 표현",아침식사로 빵을 먹어요.,Means expression,"with/for + [noun]","Used to express method or material",I eat bread for breakfast.,手段表現,"[手段] + で","どのような方法や材料でするかを表現",朝食でパンを食べます。,方式表达,"用 + [方式]","用来表达方法或材料",我用面包做早餐。,Expresión de medio,"con/para + [sustantivo]","Usado para expresar método o material",Como pan para el desayuno.,아침식사,breakfast,朝食,早餐,desayuno
daily_work_activity,daily,routine,intermediate,"casual,work",description,조건 표현하기,"[조건] + (으)면","조건이나 가정을 나타낼 때 사용",일이 끝나면 친구를 만나요.,Conditional expression,"if/when + [condition]","Used to express conditions or assumptions",I meet friends when work is finished.,条件表現,"[条件] + と","条件や仮定を表すときに使用",仕事が終わると友達に会います。,条件表达,"如果 + [条件]","用来表达条件或假设",如果工作结束了我就见朋友。,Expresión condicional,"si/cuando + [condición]","Usado para expresar condiciones o suposiciones",Veo amigos cuando termina el trabajo.,일,work,仕事,工作,trabajo
daily_home_place,daily,routine,basic,"casual,home",description,장소 표현하기,"[장소] + 에서","행동이 일어나는 장소를 나타낼 때 사용",집에서 휴식을 취해요.,Location expression,"at/in + [place]","Used to indicate where an action takes place",I rest at home.,場所表現,"[場所] + で","行動が起こる場所を表すときに使用",家で休息をとります。,地点表达,"在 + [地方]","用来表示动作发生的地点",我在家里休息。,Expresión de lugar,"en + [lugar]","Usado para indicar dónde ocurre una acción",Descanso en casa.,집,home,家,家,casa
daily_time_hour,daily,time,basic,"casual,social",question,의문사 활용,"언제 + [동사]","시간을 묻는 의문문 만들기",언제 집에 가세요?,Question words,"when + [verb]","Making questions about time",When do you go home?,疑問詞活用,"いつ + [動詞]","時間を尋ねる疑問文を作る",いつ家に帰りますか？,疑问词使用,"什么时候 + [动词]","询问时间的疑问句",你什么时候回家？,Uso de interrogativos,"cuándo + [verbo]","Formación de preguntas sobre tiempo",¿Cuándo vas a casa?,시간,time,時間,时间,tiempo
daily_schedule_plan,daily,time,intermediate,"polite,work",instruction,계획 표현하기,"[계획] + 을/를 세우다","계획을 만든다는 의미로 사용",일정을 세워서 체계적으로 일해요.,Planning expression,"make/set + [plan]","Used to mean creating a plan",I work systematically by making a schedule.,計画表現,"[計画] + を立てる","計画を作るという意味で使用",予定を立てて体系的に働きます。,计划表达,"制定 + [计划]","用来表示制作计划的意思",我制定日程有条不紊地工作。,Expresión de planificación,"hacer/establecer + [plan]","Usado para significar crear un plan",Trabajo sistemáticamente haciendo un horario.,일정,schedule,予定,日程,horario
daily_clock_device,daily,time,basic,"casual,home",description,상태 표현하기,"[상태] + 어/아/여 있다","지속되는 상태를 나타낼 때 사용",시계가 멈춰 있어요.,State expression,"be + [state]","Used to indicate a continuing state",The clock is stopped.,状態表現,"[状態] + ている","継続する状態を表すときに使用",時計が止まっています。,状态表达,"[状态] + 着","用来表示持续的状态",钟表停着。,Expresión de estado,"estar + [estado]","Usado para indicar un estado continuo",El reloj está parado.,시계,clock,時計,钟表,reloj
daily_today_present,daily,time,basic,"casual,social",greeting,현재 시제,"오늘 + [동사]","현재 진행되는 상황 표현",오늘 날씨가 따뜻해요.,Present tense,"today + [verb]","Expression for current ongoing situation",The weather is warm today.,現在時制,"今日 + [動詞]","現在進行している状況の表現",今日天気が暖かいです。,现在时态,"今天 + [动词]","表达当前进行的情况",今天天气暖和。,Tiempo presente,"hoy + [verbo]","Expresión para situación actual en curso",El clima está cálido hoy.,오늘,today,今日,今天,hoy
