concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_mother_parent,daily,family,basic,"casual,home",greeting,"엄마께서 맛있는 저녁을 준비해 주셨어요.","Mom prepared a delicious dinner for us.","お母さんが美味しい夕食を準備してくれました。","妈妈为我们准备了美味的晚餐。","Mamá preparó una cena deliciosa para nosotros.",엄마,mother,お母さん,妈妈,mamá
daily_father_parent,daily,family,basic,"casual,home",greeting,"아빠와 함께 주말에 축구를 봤어요.","I watched soccer with dad on the weekend.","お父さんと一緒に週末にサッカーを見ました。","我和爸爸在周末一起看足球。","Vi fútbol con papá el fin de semana.",아빠,father,お父さん,爸爸,papá
daily_child_offspring,daily,family,basic,"casual,home",greeting,"아이가 새로운 장난감을 가지고 놀고 있어요.","The child is playing with a new toy.","子どもが新しいおもちゃで遊んでいます。","孩子在玩新玩具。","El niño está jugando con un juguete nuevo.",아이,child,子ども,孩子,niño
daily_brother_sibling,daily,family,basic,"casual,home",greeting,"형과 함께 컴퓨터 게임을 했어요.","I played computer games with my brother.","お兄さんと一緒にコンピューターゲームをしました。","我和哥哥一起玩电脑游戏。","Jugué videojuegos con mi hermano.",형,brother,お兄さん,哥哥,hermano
daily_sister_sibling,daily,family,basic,"casual,home",greeting,"누나가 대학교에 입학했다는 소식을 들었어요.","I heard the news that my sister got into university.","お姉さんが大学に入学したという知らせを聞きました。","我听说姐姐考上了大学。","Escuché la noticia de que mi hermana entró a la universidad.",누나,sister,お姉さん,姐姐,hermana
daily_grandmother_elderly,daily,family,intermediate,"polite,home",gratitude,"할머니와 함께 전통 음식 만드는 법을 배웠어요.","I learned how to make traditional food with my grandmother.","おばあちゃんと一緒に伝統料理の作り方を学びました。","我和奶奶一起学习制作传统食物。","Aprendí a hacer comida tradicional con mi abuela.",할머니,grandmother,おばあちゃん,奶奶,abuela
daily_grandfather_elderly,daily,family,intermediate,"polite,home",gratitude,"할아버지께서 어릴 때 경험담을 들려주셨어요.","Grandfather told us stories from his childhood experiences.","おじいちゃんが子供の頃の体験談を聞かせてくれました。","爷爷给我们讲了他小时候的经历。","El abuelo nos contó historias de sus experiencias de la infancia.",할아버지,grandfather,おじいちゃん,爷爷,abuelo
daily_husband_spouse,daily,family,intermediate,"polite,home",description,"남편과 함께 주말 계획을 세우고 있어요.","I'm making weekend plans with my husband.","夫と一緒に週末の計画を立てています。","我和丈夫一起制定周末计划。","Estoy haciendo planes de fin de semana con mi esposo.",남편,husband,夫,丈夫,esposo
daily_wife_spouse,daily,family,intermediate,"polite,home",description,"아내가 새로운 취미를 시작했다고 하네요.","My wife says she started a new hobby.","妻が新しい趣味を始めたと言っています。","我妻子说她开始了新的爱好。","Mi esposa dice que comenzó un nuevo pasatiempo.",아내,wife,妻,妻子,esposa
daily_cousin_relative,daily,family,basic,"casual,social",question,"사촌과 오랜만에 만나서 근황을 나누었어요.","I met my cousin after a long time and shared recent news.","いとこと久しぶりに会って近況を分かち合いました。","我和表兄弟久别重逢，分享了近况。","Me encontré con mi primo después de mucho tiempo y compartimos noticias recientes.",사촌,cousin,いとこ,表兄弟,primo
daily_friend_companion,daily,relationships,basic,"casual,social",greeting,"친구들과 함께 영화를 보러 갈 예정이에요.","I'm planning to go see a movie with my friends.","友達と一緒に映画を見に行く予定です。","我计划和朋友一起去看电影。","Planeo ir a ver una película con mis amigos.",친구,friend,友達,朋友,amigo
daily_neighbor_community,daily,relationships,basic,"polite,social",greeting,"새로 이사 온 이웃에게 인사를 드렸어요.","I greeted the neighbor who just moved in.","新しく引っ越してきた隣人に挨拶をしました。","我向新搬来的邻居打了招呼。","Saludé al vecino que se acaba de mudar.",이웃,neighbor,隣人,邻居,vecino
daily_colleague_coworker,daily,relationships,intermediate,"polite,work",instruction,"동료와 협력해서 프레젠테이션을 준비했어요.","I prepared a presentation in cooperation with my colleague.","同僚と協力してプレゼンテーションを準備しました。","我和同事合作准备了演示文稿。","Preparé una presentación en cooperación con mi colega.",동료,colleague,同僚,同事,colega
daily_teacher_educator,daily,relationships,intermediate,"polite,school",instruction,"선생님께서 어려운 문제를 쉽게 설명해 주셨어요.","The teacher explained the difficult problem in an easy way.","先生が難しい問題を簡単に説明してくださいました。","老师简单地解释了困难的问题。","El maestro explicó el problema difícil de manera fácil.",선생님,teacher,先生,老师,maestro
daily_student_learner,daily,relationships,basic,"casual,school",question,"학생들이 수업 시간에 적극적으로 참여하고 있어요.","Students are actively participating in class.","学生たちが授業時間に積極的に参加しています。","学生们在课堂上积极参与。","Los estudiantes están participando activamente en clase.",학생,student,学生,学生,estudiante
daily_classmate_peer,daily,relationships,basic,"casual,school",greeting,"같은반 친구들과 함께 과제를 해결했어요.","I solved assignments together with my classmates.","クラスメートと一緒に課題を解決しました。","我和同班同学一起解决了作业。","Resolví tareas junto con mis compañeros de clase.",같은반,classmate,クラスメート,同班同学,compañero de clase
daily_boss_authority,daily,relationships,advanced,"polite,work",instruction,"상사께서 팀 목표에 대해 명확히 설명해 주셨어요.","The boss clearly explained the team goals to us.","上司がチームの目標について明確に説明してくださいました。","上司清楚地向我们解释了团队目标。","El jefe nos explicó claramente los objetivos del equipo.",상사,boss,上司,上司,jefe
daily_junior_subordinate,daily,relationships,intermediate,"casual,work",request,"후배에게 업무 노하우를 전수해 주고 있어요.","I'm passing on work know-how to my junior.","後輩に業務のノウハウを伝授しています。","我正在向后辈传授工作诀窍。","Le estoy transmitiendo conocimientos de trabajo a mi junior.",후배,junior,後輩,后辈,junior
daily_senior_superior,daily,relationships,intermediate,"polite,work",instruction,"선배께서 경험을 바탕으로 조언을 해주셨어요.","My senior gave me advice based on experience.","先輩が経験を基にアドバイスをしてくださいました。","前辈基于经验给了我建议。","Mi senior me dio consejos basados en la experiencia.",선배,senior,先輩,前辈,senior
daily_customer_client,daily,relationships,intermediate,"polite,shopping",instruction,"고객의 요청사항을 신속하게 처리해 드렸어요.","We quickly processed the customer's requests.","お客様のご要請を迅速に処理いたしました。","我们快速处理了客户的要求。","Procesamos rápidamente las solicitudes del cliente.",고객,customer,お客様,客户,cliente
daily_happy_joy,daily,emotions,basic,"casual,social",emotion,"친구들과 파티를 해서 정말 행복했어요.","I was really happy having a party with friends.","友達とパーティーをして本当に幸せでした。","和朋友聚会我真的很开心。","Estuve realmente feliz teniendo una fiesta con amigos.",행복하다,happy,幸せ,高兴,feliz
