daily_warm_greeting,daily,routine,basic,🔥,#FF6347,"casual,home",greeting,따뜻하다,tta-tteut-ha-da,온도가 높거나 마음이 포근함,verb,"포근하다,훈훈하다","차갑다,시원하다","따뜻함,온기","따뜻한것,포근한것","매우 따뜻하다,정말 따뜻하다",warm,/wɔːrm/,having heat or kindness,verb,"hot,cozy","cold,cool","warmth,heat","warm thing,cozy thing","very warm,really warm",温暖,wen nuan,有热量或亲切,verb,"温热,舒适","寒冷,凉爽","温暖,温度","温暖的东西,舒适的东西","非常温暖,真的温暖",暖かい,atatakai,温度が高いか心が温か,verb,"温かい,暖か","寒い,冷たい","暖かさ,温か","暖かいもの,温かなもの","とても暖か,本当に暖か",cálido,ka-li-do,teniendo calor o bondad,verb,"caliente,acogedor","frío,fresco","calidez,calor","cosa cálida,cosa acogedora","muy cálido,realmente cálido",따뜻한 인사예요,Warm greeting,温暖的问候,暖かい挨拶ですね,Saludo cálido
daily_smile_greeting,daily,routine,basic,😊,#FFE4B5,"casual,home",greeting,미소,mi-so,기쁨을 나타내는 얼굴 표정,noun,"웃음,소리","울음,찡그림","표정,감정","미소짓기,웃음소리","환한 미소,예쁜 미소",smile,/smaɪl/,happy facial expression,noun,"grin,laugh","frown,cry","expression,emotion","smiling,laughter","bright smile,pretty smile",微笑,wei xiao,表示快乐的面部表情,noun,"笑容,笑声","哭泣,皱眉","表情,情感","微笑,笑声","灿烂的微笑,美丽的微笑",笑顔,egao,喜びを表す顔の表情,noun,"笑い,笑顔","泣き顔,しかめ面","表情,感情","笑顔作り,笑い声","明るい笑顔,きれいな笑顔",sonrisa,son-ri-sa,expresión facial feliz,noun,"risa,carcajada","llanto,ceño","expresión,emoción","sonreír,risa","sonrisa brillante,sonrisa bonita",미소로 인사해요,I greet with a smile,微笑着问候,笑顔で挨拶します,Saludo con una sonrisa
daily_gentle_morning,daily,routine,basic,🌸,#FFB6C1,"casual,home",greeting,부드럽다,bu-deu-reop-da,성질이 온화하고 조용함,verb,"온화하다,조용하다","거칠다,세다","부드러움,온화함","부드러운것,온화한것","매우 부드럽다,정말 부드럽다",gentle,/ˈdʒentəl/,soft and kind,verb,"soft,mild","rough,harsh","gentleness,mildness","gentle thing,mild thing","very gentle,really gentle",温和,wen he,性质温和安静,verb,"温和,安静","粗糙,强烈","温和,温柔","温和的东西,温柔的东西","非常温和,真的温和",優しい,yasashii,性質が温和で静か,verb,"温和,静か","荒い,強い","優しさ,温和さ","優しいもの,温和なもの","とても優しい,本当に優しい",suave,swa-be,suave y amable,verb,"suave,tierno","áspero,duro","suavidad,ternura","cosa suave,cosa tierna","muy suave,realmente suave",부드러운 아침이에요,Gentle morning,温和的早晨,優しい朝ですね,Mañana suave
daily_love_family,daily,routine,basic,❤️,#FF1493,"casual,home",greeting,사랑,sa-rang,깊은 애정과 정,noun,"애정,정","미움,증오","감정,마음","사랑하기,애정표현","깊은 사랑,진실한 사랑",love,/lʌv/,deep affection,noun,"affection,care","hate,dislike","emotion,feeling","loving,affection showing","deep love,true love",爱,ai,深深的感情和情,noun,"感情,情谊","恨,憎恶","情感,心情","爱,表达感情","深深的爱,真实的爱",愛,ai,深い愛情と情,noun,"愛情,情","憎しみ,嫌い","感情,気持ち","愛すること,愛情表現","深い愛,真実の愛",amor,a-mor,afecto profundo,noun,"afecto,cariño","odio,desprecio","emoción,sentimiento","amar,expresión de afecto","amor profundo,amor verdadero",가족에 대한 사랑,Love for family,对家人的爱,家族への愛,Amor por la familia
daily_joy_morning,daily,routine,basic,😄,#FFD700,"casual,home",greeting,기쁨,gi-ppeum,즐겁고 만족스러운 감정,noun,"즐거움,만족","슬픔,고통","감정,마음","기뻐하기,즐거워하기","큰 기쁨,순수한 기쁨",joy,/dʒɔɪ/,feeling of happiness,noun,"happiness,delight","sadness,sorrow","emotion,feeling","rejoicing,being happy","great joy,pure joy",喜悦,xi yue,快乐和满足的情感,noun,"快乐,满足","悲伤,痛苦","情感,心情","高兴,快乐","巨大的喜悦,纯真的喜悦",喜び,yorokobi,楽しく満足な感情,noun,"楽しみ,満足","悲しみ,苦痛","感情,気持ち","喜ぶこと,楽しむこと","大きな喜び,純粋な喜び",alegría,a-le-gri-a,sentimiento de felicidad,noun,"felicidad,deleite","tristeza,pena","emoción,sentimiento","regocijarse,estar feliz","gran alegría,alegría pura",기쁜 아침이에요,Joyful morning,喜悦的早晨,喜びの朝ですね,Mañana alegre
daily_energy_start,daily,routine,basic,⚡,#FFD700,"casual,home",greeting,에너지,e-neo-ji,활동할 수 있는 힘,noun,"활력,기운","피로,무기력","힘,원동력","에너지충전,활력소","강한 에너지,새로운 에너지",energy,/ˈenərdʒi/,power to be active,noun,"power,vitality","fatigue,weakness","strength,force","energy charging,vitality source","strong energy,new energy",能量,neng liang,能够活动的力量,noun,"活力,精力","疲劳,无力","力量,动力","能量充电,活力源","强大的能量,新的能量",エネルギー,enerugii,活動できる力,noun,"活力,気力","疲労,無気力","力,原動力","エネルギー充電,活力源","強いエネルギー,新しいエネルギー",energía,e-ner-hi-a,poder para estar activo,noun,"poder,vitalidad","fatiga,debilidad","fuerza,poder","carga de energía,fuente de vitalidad","energía fuerte,energía nueva",에너지 넘치는 아침,Energetic morning,充满能量的早晨,エネルギー溢れる朝,Mañana energética
daily_hope_new_day,daily,routine,basic,🌟,#FFD700,"casual,home",greeting,희망,hui-mang,좋은 일이 있을 것이라는 기대,noun,"기대,소망","절망,포기","마음,바람","희망하기,기대하기","큰 희망,새로운 희망",hope,/hoʊp/,expectation of good things,noun,"expectation,wish","despair,giving up","heart,desire","hoping,expecting","great hope,new hope",希望,xi wang,期待好事情的心情,noun,"期待,愿望","绝望,放弃","心情,愿望","希望,期待","巨大的希望,新的希望",希望,kibou,良いことがあるという期待,noun,"期待,願い","絶望,諦め","心,願い","希望すること,期待すること","大きな希望,新しい希望",esperanza,es-pe-ran-sa,expectativa de cosas buenas,noun,"expectativa,deseo","desesperación,rendición","corazón,deseo","esperar,expectativa","gran esperanza,nueva esperanza",새로운 희망의 아침,Morning of new hope,新希望的早晨,新しい希望の朝,Mañana de nueva esperanza
daily_fresh_start,daily,routine,basic,🌱,#98FB98,"casual,home",greeting,새롭다,sae-rop-da,전에 없던 것,verb,"신선하다,새것이다","오래되다,낡다","새로움,신선함","새로운것,신선한것","매우 새롭다,정말 새롭다",new,/nuː/,not existing before,verb,"fresh,recent","old,ancient","newness,freshness","new thing,fresh thing","very new,really new",新的,xin de,以前没有的,verb,"新鲜,最近","旧的,古老","新颖,新鲜","新的东西,新鲜的东西","非常新,真的新",新しい,atarashii,前になかったもの,verb,"新鮮,最近","古い,古典","新しさ,新鮮さ","新しいもの,新鮮なもの","とても新しい,本当に新しい",nuevo,nwe-bo,no existía antes,verb,"fresco,reciente","viejo,antiguo","novedad,frescura","cosa nueva,cosa fresca","muy nuevo,realmente nuevo",새로운 시작이에요,New start,新的开始,新しいスタートです,Nuevo comienzo
daily_blessing_morning,daily,routine,basic,🙏,#DDA0DD,"casual,home",greeting,축복,chuk-bok,좋은 일이 일어나기를 바라는 마음,noun,"은혜,복","저주,재앙","복,은총","축복하기,복받기","큰 축복,특별한 축복",blessing,/ˈblesɪŋ/,wishing good things to happen,noun,"grace,fortune","curse,disaster","fortune,grace","blessing,being blessed","great blessing,special blessing",祝福,zhu fu,希望好事发生的心情,noun,"恩典,福气","诅咒,灾难","福气,恩典","祝福,受祝福","巨大的祝福,特别的祝福",祝福,shukufuku,良いことが起こることを願う心,noun,"恩恵,福","呪い,災い","福,恩恵","祝福すること,祝福されること","大きな祝福,特別な祝福",bendición,ben-di-sjon,deseando que sucedan cosas buenas,noun,"gracia,fortuna","maldición,desastre","fortuna,gracia","bendecir,ser bendecido","gran bendición,bendición especial",축복받은 아침이에요,Blessed morning,受祝福的早晨,祝福された朝ですね,Mañana bendecida
daily_sunshine_greeting,daily,routine,basic,☀️,#FFD700,"casual,home",greeting,햇빛,haet-bit,태양에서 나오는 빛,noun,"햇살,일광","그늘,어둠","빛,광선","햇빛받기,일광욕","따뜻한 햇빛,밝은 햇빛",sunshine,/ˈsʌnʃaɪn/,light from the sun,noun,"sunlight,daylight","shade,darkness","light,ray","sunbathing,sun exposure","warm sunshine,bright sunshine",阳光,yang guang,从太阳发出的光,noun,"日光,阳光","阴影,黑暗","光,光线","晒太阳,日光浴","温暖的阳光,明亮的阳光",日光,nikkou,太陽から出る光,noun,"日差し,太陽光","影,暗闇","光,光線","日光浴,日に当たること","暖かい日光,明るい日光",luz solar,lus so-lar,luz del sol,noun,"luz del sol,luz del día","sombra,oscuridad","luz,rayo","tomar el sol,exposición al sol","luz solar cálida,luz solar brillante",햇빛 좋은 아침,Sunny morning,阳光明媚的早晨,日光の良い朝,Mañana soleada
