concept_id,domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,spanish_word,spanish_pronunciation,spanish_definition,spanish_pos,spanish_synonyms,spanish_antonyms,spanish_word_family,spanish_compound_words,spanish_collocations,korean_example,english_example,chinese_example,japanese_example,spanish_example
daily_mother_parent,daily,family,basic,👩,#E91E63,"casual,home",greeting,엄마,eom-ma,여성 부모,명사,"어머니,모친","아버지,부친","가족,부모","엄마아빠,엄마손","좋은 엄마,젊은 엄마",mother,/ˈmʌðər/,female parent,noun,"mom,mama","father,dad","family,parent","mother-in-law,motherhood","loving mother,young mother",妈妈,ma ma,女性父母,名词,"母亲,娘亲","父亲,爸爸","家庭,父母","妈妈爸爸,母爱","好妈妈,年轻妈妈",お母さん,okaasan,女性の親,名詞,"母親,ママ","父親,お父さん","家族,両親","お母さんお父さん,母性","良いお母さん,若いお母さん",mamá,ma-má,padre femenino,sustantivo,"madre,mami","padre,papá","familia,padres","mamá papá,maternidad","buena mamá,mamá joven",우리 엄마는 요리를 잘해요.,My mother cooks well.,我妈妈做饭很好吃。,私のお母さんは料理が上手です。,Mi mamá cocina muy bien.
daily_father_parent,daily,family,basic,👨,#2196F3,"casual,home",greeting,아빠,a-ppa,남성 부모,명사,"아버지,부친","어머니,모친","가족,부모","아빠엄마,아빠차","멋진 아빠,바쁜 아빠",father,/ˈfɑːðər/,male parent,noun,"dad,papa","mother,mom","family,parent","father-in-law,fatherhood","great father,busy father",爸爸,ba ba,男性父母,名词,"父亲,爹爹","母亲,妈妈","家庭,父母","爸爸妈妈,父爱","好爸爸,忙碌爸爸",お父さん,otousan,男性の親,名詞,"父親,パパ","母親,お母さん","家族,両親","お父さんお母さん,父性","素晴らしいお父さん,忙しいお父さん",papá,pa-pá,padre masculino,sustantivo,"padre,papi","madre,mamá","familia,padres","papá mamá,paternidad","gran papá,papá ocupado",아빠가 회사에서 돌아오셨어요.,Dad came back from the company.,爸爸从公司回来了。,お父さんが会社から帰ってきました。,Papá regresó de la empresa.
daily_child_offspring,daily,family,basic,👶,#FF9800,"casual,home",greeting,아이,a-i,어린 사람,명사,"어린이,아기","어른,성인","나이,가족","아이들,아이방","예쁜 아이,똑똑한 아이",child,/tʃaɪld/,young person,noun,"kid,baby","adult,grown-up","age,family","children,childhood","cute child,smart child",孩子,hai zi,年幼的人,名词,"小孩,婴儿","大人,成人","年龄,家庭","孩子们,童年","可爱孩子,聪明孩子",子ども,kodomo,幼い人,名詞,"子供,赤ちゃん","大人,成人","年齢,家族","子どもたち,子ども部屋","可愛い子ども,賢い子ども",niño,ni-ño,persona joven,sustantivo,"bebé,pequeño","adulto,mayor","edad,familia","niños,infancia","niño lindo,niño inteligente",우리 아이는 정말 귀여워요.,Our child is really cute.,我们的孩子真的很可爱。,私たちの子どもは本当に可愛いです。,Nuestro niño es realmente lindo.
daily_brother_sibling,daily,family,basic,👦,#4CAF50,"casual,home",greeting,형,hyeong,남성 형제,명사,"형님,오빠","누나,여동생","가족,형제","형동생,형제자매","큰 형,친한 형",brother,/ˈbrʌðər/,male sibling,noun,"bro,sibling","sister,sis","family,sibling","brotherhood,brotherly","big brother,close brother",哥哥,ge ge,男性兄弟,名词,"兄长,兄弟","姐姐,妹妹","家庭,兄弟","兄弟情,兄弟们","大哥哥,亲密哥哥",お兄さん,oniisan,男性の兄弟,名詞,"兄,兄弟","姉,妹","家族,兄弟","兄弟愛,兄弟たち","大きなお兄さん,親しいお兄さん",hermano,her-ma-no,hermano masculino,sustantivo,"hermano mayor,hermanos","hermana,hermanas","familia,hermanos","hermandad,fraternidad","hermano mayor,hermano cercano",형이 축구를 가르쳐 줬어요.,My brother taught me soccer.,哥哥教我踢足球。,お兄さんがサッカーを教えてくれました。,Mi hermano me enseñó fútbol.
daily_sister_sibling,daily,family,basic,👧,#E91E63,"casual,home",greeting,누나,nu-na,여성 형제,명사,"언니,누님","형,남동생","가족,형제","누나동생,자매","예쁜 누나,친한 누나",sister,/ˈsɪstər/,female sibling,noun,"sis,sibling","brother,bro","family,sibling","sisterhood,sisterly","pretty sister,close sister",姐姐,jie jie,女性姐妹,名词,"姐妹,姊姊","哥哥,弟弟","家庭,姐妹","姐妹情,姐妹们","漂亮姐姐,亲密姐姐",お姉さん,oneesan,女性の姉妹,名詞,"姉,姉妹","兄,弟","家族,姉妹","姉妹愛,姉妹たち","綺麗なお姉さん,親しいお姉さん",hermana,her-ma-na,hermana femenina,sustantivo,"hermana mayor,hermanas","hermano,hermanos","familia,hermanas","hermandad de mujeres,sororidad","hermana bonita,hermana cercana",누나가 생일 선물을 줬어요.,My sister gave me a birthday present.,姐姐给了我生日礼物。,お姉さんが誕生日プレゼントをくれました。,Mi hermana me dio un regalo de cumpleaños.
daily_grandmother_elderly,daily,family,intermediate,👵,#9C27B0,"polite,home",gratitude,할머니,hal-meo-ni,어머니의 어머니,명사,"조모,외할머니","할아버지,손자","가족,조상","할머니할아버지,할머니댁","자상한 할머니,건강한 할머니",grandmother,/ˈɡrænmʌðər/,mother's mother,noun,"grandma,granny","grandfather,grandson","family,ancestor","grandmother grandfather,grandmother's house","caring grandmother,healthy grandmother",奶奶,nai nai,母亲的母亲,名词,"祖母,外婆","爷爷,孙子","家庭,祖先","奶奶爷爷,奶奶家","慈祥奶奶,健康奶奶",おばあちゃん,obaachan,母の母,名詞,"祖母,おばあさん","おじいちゃん,孫","家族,先祖","おばあちゃんおじいちゃん,おばあちゃんの家","優しいおばあちゃん,元気なおばあちゃん",abuela,a-bue-la,madre de la madre,sustantivo,"abuelita,yaya","abuelo,nieto","familia,ancestro","abuela abuelo,casa de la abuela","abuela cariñosa,abuela saludable",할머니께서 맛있는 음식을 해주세요.,Grandmother makes delicious food for us.,奶奶给我们做美味的食物。,おばあちゃんが美味しい料理を作ってくれます。,La abuela nos hace comida deliciosa.
daily_grandfather_elderly,daily,family,intermediate,👴,#795548,"polite,home",gratitude,할아버지,hal-a-beo-ji,아버지의 아버지,명사,"조부,외할아버지","할머니,손녀","가족,조상","할아버지할머니,할아버지댁","자상한 할아버지,건강한 할아버지",grandfather,/ˈɡrænfɑːðər/,father's father,noun,"grandpa,gramps","grandmother,granddaughter","family,ancestor","grandfather grandmother,grandfather's house","caring grandfather,healthy grandfather",爷爷,ye ye,父亲的父亲,名词,"祖父,外公","奶奶,孙女","家庭,祖先","爷爷奶奶,爷爷家","慈祥爷爷,健康爷爷",おじいちゃん,ojiichan,父の父,名詞,"祖父,おじいさん","おばあちゃん,孫娘","家族,先祖","おじいちゃんおばあちゃん,おじいちゃんの家","優しいおじいちゃん,元気なおじいちゃん",abuelo,a-bue-lo,padre del padre,sustantivo,"abuelito,yayo","abuela,nieta","familia,ancestro","abuelo abuela,casa del abuelo","abuelo cariñoso,abuelo saludable",할아버지는 항상 재미있는 이야기를 들려주세요.,Grandfather always tells us interesting stories.,爷爷总是给我们讲有趣的故事。,おじいちゃんはいつも面白い話をしてくれます。,El abuelo siempre nos cuenta historias interesantes.
daily_husband_spouse,daily,family,intermediate,👨‍💼,#2196F3,"polite,home",description,남편,nam-pyeon,결혼한 남성,명사,"부군,신랑","아내,부인","결혼,가족","남편아내,남편분","좋은 남편,바쁜 남편",husband,/ˈhʌzbənd/,married man,noun,"spouse,hubby","wife,bride","marriage,family","husband wife,husband's","good husband,busy husband",丈夫,zhang fu,已婚男性,名词,"老公,先生","妻子,老婆","婚姻,家庭","丈夫妻子,丈夫的","好丈夫,忙碌丈夫",夫,otto,結婚した男性,名詞,"旦那,主人","妻,奥さん","結婚,家族","夫妻,夫の","良い夫,忙しい夫",esposo,es-po-so,hombre casado,sustantivo,"marido,cónyuge","esposa,mujer","matrimonio,familia","esposo esposa,del esposo","buen esposo,esposo ocupado",남편이 회사에서 늦게 돌아와요.,My husband comes home late from work.,我丈夫下班回家很晚。,夫が会社から遅く帰ってきます。,Mi esposo llega tarde a casa del trabajo.
daily_wife_spouse,daily,family,intermediate,👩‍💼,#E91E63,"polite,home",description,아내,a-nae,결혼한 여성,명사,"부인,신부","남편,신랑","결혼,가족","아내남편,아내분","좋은 아내,바쁜 아내",wife,/waɪf/,married woman,noun,"spouse,missus","husband,groom","marriage,family","husband wife,wife's","good wife,busy wife",妻子,qi zi,已婚女性,名词,"老婆,太太","丈夫,老公","婚姻,家庭","妻子丈夫,妻子的","好妻子,忙碌妻子",妻,tsuma,結婚した女性,名詞,"奥さん,嫁","夫,旦那","結婚,家族","妻夫,妻の","良い妻,忙しい妻",esposa,es-po-sa,mujer casada,sustantivo,"mujer,cónyuge","esposo,marido","matrimonio,familia","esposa esposo,de la esposa","buena esposa,esposa ocupada",아내가 맛있는 저녁을 준비했어요.,My wife prepared a delicious dinner.,我妻子准备了美味的晚餐。,妻が美味しい夕食を準備しました。,Mi esposa preparó una cena deliciosa.
daily_cousin_relative,daily,family,basic,👫,#FF9800,"casual,social",question,사촌,sa-chon,사촌 형제,명사,"사촌형제,사촌자매","타인,남","친척,가족","사촌동생,사촌언니","먼 사촌,가까운 사촌",cousin,/ˈkʌzən/,cousin siblings,noun,"relative,kin","stranger,outsider","relative,family","cousin brother,cousin sister","distant cousin,close cousin",表兄弟,biao xiong di,表兄弟姐妹,名词,"堂兄弟,表姐妹","陌生人,外人","亲戚,家庭","表弟,表姐","远表兄弟,近表兄弟",いとこ,itoko,いとこ兄弟,名詞,"従兄弟,従姉妹","他人,よそ者","親戚,家族","いとこ弟,いとこ姉","遠いいとこ,近いいとこ",primo,pri-mo,hermanos primos,sustantivo,"pariente,familiar","extraño,forastero","pariente,familia","primo hermano,prima hermana","primo lejano,primo cercano",사촌이 몇 명이나 있어요?,How many cousins do you have?,你有多少个表兄弟姐妹？,いとこは何人いますか？,¿Cuántos primos tienes?
