concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
food_cook_prepare,food,cooking,basic,"casual,home",instruction,"오늘 저녁에 뭘 요리할까요?","What shall we cook for dinner tonight?","今夜の夕食に何を料理しましょうか？","今晚我们做什么菜？","¿Qué cocinamos para la cena esta noche?",요리하다,cook,料理する,做饭,cocinar
food_fry_cooking,food,cooking,basic,"casual,home",instruction,"팬에 기름을 두르고 생선을 튀겨주세요.","Put oil in the pan and fry the fish.","フライパンに油を敷いて魚を揚げてください。","在平底锅里放油炸鱼。","Pon aceite en la sartén y fríe el pescado.",튀기다,fry,揚げる,炸,freír
food_boil_cooking,food,cooking,basic,"casual,home",instruction,"물이 끓으면 파스타를 삶아주세요.","When water boils, cook the pasta.","お湯が沸いたらパスタを茹でてください。","水开了就煮意大利面。","Cuando hierva el agua, cocina la pasta.",삶다,boil,茹でる,煮,hervir
food_bake_cooking,food,cooking,intermediate,"casual,home",instruction,"오븐을 180도로 예열하고 케이크를 구워요.","Preheat oven to 180 degrees and bake the cake.","オーブンを180度に予熱してケーキを焼きます。","烤箱预热到180度烤蛋糕。","Precalienta el horno a 180 grados y hornea el pastel.",굽다,bake,焼く,烤,hornear
food_steam_cooking,food,cooking,intermediate,"casual,home",instruction,"야채를 찜기에 넣어서 15분간 쪄주세요.","Put vegetables in steamer and steam for 15 minutes.","野菜を蒸し器に入れて15分蒸してください。","把蔬菜放入蒸锅蒸15分钟。","Pon las verduras en la vaporera y cuece por 15 minutos.",찌다,steam,蒸す,蒸,cocer
food_grill_cooking,food,cooking,intermediate,"casual,home",instruction,"바베큐 그릴에서 스테이크를 구워봅시다.","Let's grill steak on the barbecue grill.","バーベキューグリルでステーキを焼きましょう。","我们在烧烤架上烤牛排吧。","Asemos bistec en la parrilla de barbacoa.",굽다,grill,焼く,烧烤,asar
food_mix_cooking,food,cooking,basic,"casual,home",instruction,"밀가루와 물을 그릇에서 잘 섞어주세요.","Mix flour and water well in a bowl.","小麦粉と水をボウルでよく混ぜてください。","在碗里把面粉和水混合好。","Mezcla bien la harina y el agua en un tazón.",섞다,mix,混ぜる,拌,mezclar
food_chop_cooking,food,cooking,basic,"casual,home",instruction,"도마 위에서 양파를 잘게 썰어주세요.","Chop the onions finely on cutting board.","まな板の上で玉ねぎを細かく切ってください。","在砧板上把洋葱切细。","Corta finamente las cebollas en la tabla de cortar.",썰다,chop,切る,切,cortar
food_season_cooking,food,cooking,intermediate,"casual,home",instruction,"요리 마지막에 소금과 후추로 간을 맞춰요.","Season with salt and pepper at the end of cooking.","料理の最後に塩とコショウで味を調えます。","做菜最后用盐和胡椒调味。","Sazona con sal y pimienta al final de cocinar.",간하다,season,味付けする,调味,sazonar
food_marinate_cooking,food,cooking,advanced,"casual,home",instruction,"고기를 양념장에 2시간 동안 재워두세요.","Marinate the meat in sauce for 2 hours.","肉を調味料に2時間漬けておいてください。","把肉在调料里腌2小时。","Marina la carne en salsa por 2 horas.",재우다,marinate,漬ける,腌制,marinar
